feature,importance
vol_30d,0.19979091504803712
beta_btc_60d,0.16551436134373332
vol_ratio_30d,0.14627540333975703
skew_30d,0.1333460911316772
ret_30d,0.12317333769673494
atr_14d,0.11643596737529746
ret_7d,0.11546392406476295
